f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.005 | [[496, 511, 571, 631, 781], [426, 441, 501, 561, 711], [370, 385, 445, 505, 655]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.01 | [[551, 556, 576, 596, 646], [475, 480, 500, 520, 570], [411, 416, 436, 456, 506]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.001 | [[404, 444, 604, 764, 1164], [360, 395, 535, 675, 1025], [332, 367, 507, 647, 997]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.003 | [[410, 425, 485, 545, 695], [360, 375, 435, 495, 645], [325, 340, 400, 460, 610]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.005 | [[467, 482, 542, 602, 752], [397, 412, 472, 532, 682], [342, 357, 417, 477, 627]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.15 | 0.01 | [[522, 527, 547, 567, 617], [446, 451, 471, 491, 541], [383, 388, 408, 428, 478]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.001 | [[350, 390, 550, 710, 1110], [306, 341, 481, 621, 971], [279, 314, 454, 594, 944]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.003 | [[356, 371, 431, 491, 641], [306, 321, 381, 441, 591], [272, 287, 347, 407, 557]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.005 | [[413, 428, 488, 548, 698], [343, 358, 418, 478, 628], [289, 304, 364, 424, 574]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.1 | 0.01 | [[468, 473, 493, 513, 563], [392, 397, 417, 437, 487], [330, 335, 355, 375, 425]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.07 | 0.001 | [[302, 342, 502, 662, 1062], [259, 294, 434, 574, 924], [232, 267, 407, 547, 897]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.07 | 0.003 | [[308, 323, 383, 443, 593], [259, 274, 334, 394, 544], [225, 240, 300, 360, 510]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.07 | 0.005 | [[365, 380, 440, 500, 650], [296, 311, 371, 431, 581], [242, 257, 317, 377, 527]] | 
